Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/05 @ 03:00:00;1;5;3;-8.7;-9.41;100.41;80;-11.21;0;0;0;6.4
2002/01/05 @ 04:00:00;1;5;4;-9.1;-9.65;100.33;84;-11.06;0;0;0;6.7
2002/01/05 @ 05:00:00;1;5;5;-9.6;-10.03;100.21;87;-11.16;0;0;0;6.7
2002/01/05 @ 06:00:00;1;5;6;-8.3;-8.77;100.11;87;-9.88;0;0;0;6.7
2002/01/05 @ 07:00:00;1;5;7;-7.9;-8.39;100.05;87;-9.48;0;0;0;6.9
2002/01/05 @ 08:00:00;1;5;8;-7.7;-8.19;99.97;87;-9.28;0;0;0;7.2
2002/01/05 @ 09:00:00;1;5;9;-6.6;-6.92;99.76;92;-7.56;0;0;0;5.6
2002/01/05 @ 10:00:00;1;5;10;-5.6;-5.86;99.48;94;-6.31;2;0;2;3.6
2002/01/05 @ 11:00:00;1;5;11;-8.1;-8.36;99.34;93;-8.92;18.3;1;18;3.1
2002/01/05 @ 12:00:00;1;5;12;-8.1;-8.32;99.25;94;-8.8;3;0;3;3.6
2002/01/05 @ 13:00:00;1;5;13;-8.5;-8.72;99.13;94;-9.2;0;0;0;4.2
2002/01/05 @ 14:00:00;1;5;14;-8.1;-8.32;98.65;94;-8.8;0;0;0;5.7
2002/01/05 @ 15:00:00;1;5;15;-9.1;-9.52;98.93;88;-10.54;0;0;0;6.4
2002/01/05 @ 16:00:00;1;5;16;-9.9;-10.53;99.28;81;-12.25;0;0;0;7.2
2002/01/05 @ 17:00:00;1;5;17;-10.3;-11.07;99.33;76;-13.35;0;0;0;7.5
2002/01/05 @ 18:00:00;1;5;18;-9.7;-10.61;99.42;73;-13.2;0;0;0;8.3
2002/01/05 @ 19:00:00;1;5;19;-9.5;-10.45;99.45;72;-13.16;0;0;0;8.3
2002/01/05 @ 20:00:00;1;5;20;-8.4;-9.54;99.43;69;-12.56;0;0;0;8.9
2002/01/05 @ 21:00:00;1;5;21;-8.5;-9.7;99.44;67;-12.98;0;0;0;8.9
2002/01/05 @ 22:00:00;1;5;22;-7.9;-9.26;99.71;64;-12.91;0;0;0;8.9
2002/01/05 @ 23:00:00;1;5;23;-7.7;-9.12;99.72;63;-12.89;0;0;0;8.9
2002/01/06 @ 00:00:00;1;6;0;-8.9;-10.21;99.86;63;-14.04;0;0;0;8.3
2002/01/06 @ 01:00:00;1;6;1;-9.9;-11.09;100.02;64;-14.83;0;0;0;7.8
2002/01/06 @ 02:00:00;1;6;2;-12.3;-13.31;100.17;64;-17.14;0;0;0;7.2
2002/01/06 @ 03:00:00;1;6;3;-13.2;-14.22;100.33;61;-18.51;0;0;0;6.7
2002/01/06 @ 04:00:00;1;6;4;-12.9;-14.05;100.49;57;-18.93;0;0;0;5.7
2002/01/06 @ 05:00:00;1;6;5;-12.9;-14.16;100.6;53;-19.69;0;0;0;5.1
2002/01/06 @ 06:00:00;1;6;6;-13.9;-15.12;100.73;51;-21.03;67;0;67;4.4
2002/01/06 @ 07:00:00;1;6;7;-14.2;-15.42;100.82;50;-21.51;108;0;108;3.6
2002/01/06 @ 08:00:00;1;6;8;-15.1;-16.28;100.94;48;-22.77;134;0;134;3.6
2002/01/06 @ 09:00:00;1;6;9;-14.2;-15.37;100.91;52;-21.11;211.55;137;190;3.6
2002/01/06 @ 10:00:00;1;6;10;-13.9;-15.02;100.99;55;-20.25;266.52;383;172;4.7
2002/01/06 @ 11:00:00;1;6;11;-14.1;-15.08;100.95;60;-19.54;294.5;512;141;5.6
2002/01/06 @ 12:00:00;1;6;12;-13.8;-14.78;100.97;61;-19.08;267.66;501;111;5.6
2002/01/06 @ 13:00:00;1;6;13;-13.4;-14.35;100.99;63;-18.36;242;397;129;5.6
2002/01/06 @ 14:00:00;1;6;14;-13.4;-14.35;100.98;63;-18.36;213.71;509;103;5.6
2002/01/06 @ 15:00:00;1;6;15;-13.6;-14.51;101;64;-18.39;157.35;469;103;5.4
2002/01/06 @ 16:00:00;1;6;16;-13.9;-14.82;101.01;63;-18.84;107;297;107;4.7
2002/01/06 @ 17:00:00;1;6;17;-13.8;-14.73;100.99;63;-18.74;0;0;0;4.2
2002/01/06 @ 18:00:00;1;6;18;-14.2;-15.12;101.01;62;-19.29;0;0;0;3.6
2002/01/06 @ 19:00:00;1;6;19;-14.3;-15.24;101.01;61;-19.56;0;0;0;2.8
2002/01/06 @ 20:00:00;1;6;20;-15.5;-16.4;100.97;59;-21.05;0;0;0;1.9
2002/01/06 @ 21:00:00;1;6;21;-15.2;-16.1;100.98;60;-20.59;0;0;0;1.9
2002/01/06 @ 22:00:00;1;6;22;-15.3;-16.17;100.98;61;-20.51;0;0;0;2.2
2002/01/06 @ 23:00:00;1;6;23;-15.3;-16.15;100.99;62;-20.34;0;0;0;2.5
2002/01/07 @ 00:00:00;1;7;0;-15.4;-16.24;101.01;62;-20.44;0;0;0;2.5
2002/01/07 @ 01:00:00;1;7;1;-15.1;-15.96;100.98;62;-20.15;0;0;0;2.5
2002/01/07 @ 02:00:00;1;7;2;-15.2;-16.03;100.98;63;-20.08;0;0;0;2.5
2002/01/07 @ 03:00:00;1;7;3;-14.7;-15.38;100.78;71;-18.36;0;0;0;3.9
2002/01/07 @ 04:00:00;1;7;4;-14.1;-14.61;100.6;79;-16.64;0;0;0;5.7
2002/01/07 @ 05:00:00;1;7;5;-14.5;-14.86;100.55;85;-16.25;0;0;0;6.7
2002/01/07 @ 06:00:00;1;7;6;-13.3;-13.69;100.39;85;-15.07;0;0;0;7.2
2002/01/07 @ 07:00:00;1;7;7;-11.8;-12.29;100.49;83;-13.85;0;0;0;7.2
2002/01/07 @ 08:00:00;1;7;8;-9.6;-10.24;100.29;81;-11.96;0;0;0;7.8
2002/01/07 @ 09:00:00;1;7;9;-8.1;-8.91;100.3;78;-10.91;146.03;139;124;7.2
2002/01/07 @ 10:00:00;1;7;10;-6.7;-7.67;100.31;76;-9.83;220.6;385;125;7.2
2002/01/07 @ 11:00:00;1;7;11;-6;-7.14;100.33;73;-9.6;249.04;514;94;6.9
